name,category,priority,phone,email,address,status,value,source,gmaps,notes,addedDate
"Jordan Angela DVM","Pet Services","medium","(512) 353-2717","","415 Springtown Way, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17207010228071172002","","2026-05-20T01:17:43.085Z"
"PetWell Animal Medical Center","Pet Services","medium","","","W32W+37, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10134121834163811825","","2026-05-20T01:17:46.393Z"
"PALS","Pet Services","medium","","","8401 Ranch Rd 12, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13949091006165598597","Rating: 4.6 (9 reviews)","2026-05-20T01:17:47.438Z"
"The Moonflower Studio","Boutique / Retail","medium","(512) 214-3763","","403 S Johnson Ave, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=3293115339869407331","","2026-05-20T01:17:52.085Z"
"H-E-B Florist","Boutique / Retail","medium","","","641 E Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=7547856682491116468","","2026-05-20T01:17:52.346Z"
"Aladdin Cleaning & Restoration","Cleaning Service","medium","(512) 353-7384","","1104 Columbia Ave, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=8346942743880580444","","2026-05-20T01:17:54.639Z"
"Certified Carpet Cleaning, Inc.","Cleaning Service","medium","(512) 757-0984","","520 Wonder World Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=4306120619373576077","Rating: 4.3 (10 reviews)","2026-05-20T01:17:55.471Z"
"Victory Cleaners","Cleaning Service","medium","(512) 396-4606","","418 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14608610235717389376","Rating: 4.3 (161 reviews)","2026-05-20T01:17:56.627Z"
"Laundry Basket","Cleaning Service","medium","(512) 353-1418","","1525 Aquarena Springs Dr Suite 211, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14624690749606153733","Rating: 4.2 (307 reviews)","2026-05-20T01:17:56.890Z"
"Royal Cleaners","Cleaning Service","medium","(512) 392-4613","","308 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13274222318726740712","Rating: 4.7 (62 reviews)","2026-05-20T01:17:57.156Z"
"Laundromat","Cleaning Service","medium","","","924 I 35 N Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15235819416597741868","Rating: 4 (37 reviews)","2026-05-20T01:17:58.017Z"
"Riverside Washateria San Marcos","Cleaning Service","medium","","","4435 TX-123 #201, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16667162192414002573","Rating: 3.3 (12 reviews)","2026-05-20T01:17:58.632Z"
"Mr. T Washateria No.2","Cleaning Service","medium","","","807 N Old Hwy 81, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=3396991346010208327","Rating: 3.2 (100 reviews)","2026-05-20T01:18:02.000Z"
"Riverside Washateria","Cleaning Service","medium","(512) 359-4925","","1101 Bunton Creek Rd, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=8521933780734268435","Rating: 4.2 (276 reviews)","2026-05-20T01:18:02.254Z"
"Coldwell Banker First National, Realtors: Mary Evans","Real Estate","medium","(512) 753-6311","","407 S Stagecoach Trail, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12108768883528662410","","2026-05-20T01:18:06.241Z"
"AustinSA Real Estate Services","Real Estate","medium","(512) 805-8226","","314 E Hutchison St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16251129803717406288","Rating: 4 (4 reviews)","2026-05-20T01:18:07.045Z"
"Huber & Co. Real Estate","Real Estate","medium","(512) 666-4868","","165 S Guadalupe St #112, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14029734194167775445","Rating: 1 (3 reviews)","2026-05-20T01:18:07.315Z"
"San Marcos Texas Condos","Real Estate","medium","(512) 423-0698","","1504 Aquarena Springs Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15994241873340822901","","2026-05-20T01:18:23.889Z"
"Nationwide Insurance: Mahan Insurance Services Inc.","Other","medium","(512) 392-5585","","900 Bugg Ln Ste 240, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13186313563715321530","Rating: 3.6 (10 reviews)","2026-05-20T01:18:24.566Z"
"Gold Star Life Insurance LLC","Other","medium","(737) 363-2003","","1904 Post Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17589721601481141695","Rating: 5 (8 reviews)","2026-05-20T01:18:30.017Z"
"Albert Marzullo - Aflac Insurance Agent","Other","medium","(512) 749-0646","","161 Pine Cove, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=11598571339703239487","Rating: 3 (1 reviews)","2026-05-20T01:18:33.632Z"
"Insurance 4 less","Other","medium","(956) 247-4997","","1630 Aquarena Springs Dr B, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=503429900003909613","Rating: 4.5 (12 reviews)","2026-05-20T01:18:46.398Z"
"Southside Tax Services","Other","medium","(512) 396-9777","","401 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14431447607050596602","Rating: 5 (1 reviews)","2026-05-20T01:18:47.513Z"
"Balance Bookkeeping","Other","medium","(512) 216-4198","","109 Salinas Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9194059883891762751","Rating: 5 (1 reviews)","2026-05-20T01:18:48.603Z"
"Fortin and Associates, LLC","Other","medium","(512) 754-0150","","705 W Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=7572148355138251242","","2026-05-20T01:18:49.131Z"
"Mc Creary Veselka Bragg Allen","Other","medium","(512) 353-3757","","712 S Stagecoach Trail, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15749238044332571097","","2026-05-20T01:18:49.930Z"
"Central Texas Bookkeeping, LLC","Other","medium","(512) 938-1100","","1205 TX-123 # 202, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9888745643643496385","","2026-05-20T01:18:52.236Z"
"Ledesma Bookkeeping Service","Other","medium","(512) 396-7260","","311 Cheatham St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15764201824750836005","Rating: 2.3 (3 reviews)","2026-05-20T01:18:55.767Z"
"Pryven Credit Repair San Marcos","Other","medium","(737) 387-1048","","136 E San Antonio St #130, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15553722913950941083","Rating: 5 (12 reviews)","2026-05-20T01:18:56.581Z"
"Quick Books Online Support","Other","medium","(833) 435-3695","","106 North St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15850233354698829420","","2026-05-20T01:18:57.249Z"
"Nickole Farrow Professional Services","Other","medium","(512) 943-7491","","205 Cheatham St # 60, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=2005470642547794648","","2026-05-20T01:18:57.556Z"
"Sam Cooper PC","Other","medium","(512) 878-1756","","322 Cheatham St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1727678987088513971","","2026-05-20T01:18:58.477Z"
"Quicken Helpline","Other","medium","(855) 517-0268","","211 W Grove St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=18440364812175802580","","2026-05-20T01:18:58.745Z"
"Accounting Grace","Other","medium","(512) 203-0094","","602 I 35 N Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6690480454034369490","","2026-05-20T01:18:59.013Z"
"Big Star Bookkeeping Solutions, LLC","Other","medium","(512) 387-3322","","911 Hillyer St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12873922881822134809","Rating: 5 (1 reviews)","2026-05-20T01:18:59.281Z"
"SB Tax Services","Other","medium","(512) 787-3039","","1010 Marlton St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5473397343567311442","Rating: 5 (1 reviews)","2026-05-20T01:18:59.875Z"
"SJL Bookkeeping LLC","Other","medium","(512) 667-9298","","705 River Rd Apt 103, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15830189285587310374","Rating: 5 (4 reviews)","2026-05-20T01:19:00.138Z"
"Easy Step Bookkeeping & Tax Service","Other","medium","(512) 216-6472","","1122 TX-123, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14966603705036475829","Rating: 5 (3 reviews)","2026-05-20T01:19:00.382Z"
"RJM Tax Services","Other","medium","(512) 518-0829","","1006 TX-80, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13760778271329787343","Rating: 3.7 (3 reviews)","2026-05-20T01:19:00.625Z"
"Wilson Ronald O CPA","Other","medium","(512) 396-3208","","110 Willow Springs Dr #101, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10684453930896454317","","2026-05-20T01:19:03.119Z"
"Ruthie Hays","Other","medium","(512) 216-7921","","1350 Wonder World Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14162640639521147561","","2026-05-20T01:19:03.655Z"
"Ability Bookkeeping & Business Solutions","Other","medium","(512) 781-2657","","112 Gray Wolf Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10453967708059153493","","2026-05-20T01:19:05.010Z"
"Professional Hispanic Services","Other","medium","(512) 292-9740","","187 Elmhurst Dr Ste F, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=8968444139926572401","","2026-05-20T01:19:05.586Z"
"Hunter Oak Storage","Other","medium","(512) 754-0320","","2215 Hunter Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10469804533737529866","Rating: 4 (1 reviews)","2026-05-20T01:19:08.980Z"
"Conveyance Moving + Storage","Other","medium","(512) 585-5350","","4730 TX-123 #C, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=3074076509980094502","Rating: 3 (2 reviews)","2026-05-20T01:19:10.095Z"
"B & C Storage","Other","medium","(512) 212-0274","","5485 Airport Hwy #21, Maxwell, TX 78656, USA","new","","Google Places API","https://maps.google.com/?cid=5626647293541562846","Rating: 4.8 (13 reviews)","2026-05-20T01:19:10.625Z"
"Transdel Delivery Service","Other","medium","(512) 392-2799","","2019 Clovis Barker Rd Building C, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=4925077616564952591","Rating: 4.4 (7 reviews)","2026-05-20T01:19:14.147Z"
"Resty Mini Storage and Boxes","Other","medium","","","301 E Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5824861431061631200","","2026-05-20T01:19:16.358Z"
"Lifestorage","Other","medium","","","1620 S I-35 South Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9086120191795253951","Rating: 4 (2 reviews)","2026-05-20T01:19:16.866Z"
"HEB Warehouse","Other","medium","","","380 Wonder World Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=2704934869184599252","Rating: 3.8 (4 reviews)","2026-05-20T01:19:17.379Z"
"HEB Truck Access","Other","medium","","","380 Wonder World Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1490934838087850650","Rating: 2.4 (153 reviews)","2026-05-20T01:19:17.633Z"
"Life Storage","Other","medium","","","San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10550843134717858036","","2026-05-20T01:19:18.711Z"
"LiLife Storage","Other","medium","","","2214 S I-35 South Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1590043662542838887","","2026-05-20T01:19:21.796Z"
"H-E-B Shipping Gate Only","Other","medium","","","San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17605468386705430395","Rating: 4 (21 reviews)","2026-05-20T01:19:22.126Z"
"Lease-N-Lock Storage","Other","medium","(512) 392-6707","","2305 Old Ranch Rd 12, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9199278343073406708","Rating: 4.5 (4 reviews)","2026-05-20T01:19:22.703Z"
"Affordable Rental Corporation","Other","medium","","","1971 S I-35 South Frontage Rd #101, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17721121485743934609","Rating: 3.3 (3 reviews)","2026-05-20T01:19:22.976Z"
"LX Pantos","Other","medium","","","328 Barnes Dr Suite 240, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=7262325909808009334","Rating: 2.1 (12 reviews)","2026-05-20T01:19:23.226Z"
"Community Action Warehouse","Other","medium","(512) 396-0177","","1633 TX-80, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5532882613521998965","Rating: 4 (2 reviews)","2026-05-20T01:19:23.469Z"
"Quality Insulation","Other","medium","","","1551 Clovis Barker Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17347874369912986593","Rating: 5 (1 reviews)","2026-05-20T01:19:24.065Z"
"Pepco sales and manufacturing","Other","medium","","","1551 Clovis Barker Rd Ste. 201, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9234749801603890498","","2026-05-20T01:19:24.329Z"
"RH MKT 5 SAN MARCOS","Other","medium","","","1600 Clovis Barker Rd #101, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9554810875988685207","","2026-05-20T01:19:24.863Z"
"SAT2 Guard Shack","Other","medium","","","1401 E McCarty Ln, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16340458084262170095","Rating: 4.1 (7 reviews)","2026-05-20T01:19:25.955Z"
"Propak Logistics","Other","medium","","","2301 Hunter Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=2387432510499394181","Rating: 3 (4 reviews)","2026-05-20T01:19:27.338Z"
"Saucedo's Construction","Other","medium","(512) 392-2065","","211 W Grove St Ste. A, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13802594757021773097","Rating: 1.8 (18 reviews)","2026-05-20T01:19:27.657Z"
"Delgado Trucking","Other","medium","(512) 353-0826","","1000 River Rd Suite C, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15691906187346646406","Rating: 5 (1 reviews)","2026-05-20T01:19:27.972Z"
"Doherty's Trucking","Other","medium","(512) 757-1772","","San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=313810626715500757","","2026-05-20T01:19:28.221Z"
"Sierra's Hauling","Other","medium","(512) 396-4285","","602 Blanco St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=2764716435404799948","","2026-05-20T01:19:29.046Z"
"Delgado Trucking","Other","medium","(512) 353-0826","","506 Lockwood St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13692492778629502066","Rating: 4.3 (4 reviews)","2026-05-20T01:19:29.299Z"
"3PC Inc","Other","medium","(512) 353-1250","","1600 Clovis Barker Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10981013143660492550","","2026-05-20T01:19:31.754Z"
"Kyle Auto Trasnport Inc.","Other","medium","(512) 846-8404","","103 E Center St, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=1468847805026786582","","2026-05-20T01:19:33.115Z"
"A Garcia Trucking","Other","medium","(512) 268-4312","","1000 Dacy Ln, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=900131303547436964","Rating: 4 (2 reviews)","2026-05-20T01:19:34.479Z"
"AE Relocation Solutions","Other","medium","","","1300 Philomena Dr., Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=2374259429276695821","","2026-05-20T01:19:34.728Z"
"Five Star Materials LLC","Other","medium","(830) 708-1443","","320 Soechting Ln, New Braunfels, TX 78130, USA","new","","Google Places API","https://maps.google.com/?cid=1004408637199954548","","2026-05-20T01:19:35.266Z"
